commit	brier_score	calibration_error	expected_profit_pct	hit_rate	sample_size	trades_taken	brier_95ci	status	description
7a64f75	0.2530	0.0826	18.0	0.574	357	12	0.2381-0.2671	run	baseline
947d033	0.2528	0.1079	31.0	0.569	357	2	0.2383-0.2667	run	MATCHUP_MULTIPLIER=0.0
52039f3	0.2524	0.1074	32.3	0.574	357	5	0.2383-0.2659	run	MATCHUP_MULTIPLIER=0.05
abafd8d	0.2538	0.0686	-3.2	0.571	357	43	0.2399-0.2695	run	MATCHUP_MULTIPLIER=0.30
5b8b026	0.2535	0.0795	16.7	0.566	357	79	0.2383-0.2693	run	MATCHUP_MULTIPLIER=0.50
1b732f1	0.2526	0.1125	16.6	0.577	357	4	0.2377-0.2660	run	MATCHUP_MULTIPLIER=0.02
615d7bf	0.2525	0.0918	47.6	0.574	357	8	0.2396-0.2670	run	MATCHUP_MULTIPLIER=0.08
85f5aa6	0.2542	0.0905	232.5	0.580	357	1	0.2401-0.2677	run	VENUE_MULTIPLIER=0.0 (matchup=0.05)
b311255	0.2532	0.1019	167.4	0.580	357	2	0.2396-0.2671	run	VENUE_MULTIPLIER=0.05 (matchup=0.05)
15198bc	0.2518	0.1077	24.0	0.576	357	9	0.2382-0.2657	run	VENUE_MULTIPLIER=0.20 (matchup=0.05)
5e5c6a8	0.2522	0.1041	24.0	0.574	357	9	0.2392-0.2669	run	VENUE_MULTIPLIER=0.30 (matchup=0.05)
ae5a408	0.2520	0.1083	24.0	0.574	357	9	0.2392-0.2656	run	VENUE_MULTIPLIER=0.25 (matchup=0.05)
2f6b97c	0.2514	0.1071	21.4	0.576	357	7	0.2374-0.2645	run	B2B_PENALTY=0.0 (matchup=0.05,venue=0.20)
20c374b	0.2516	0.1075	21.4	0.576	357	7	0.2378-0.2665	run	B2B_PENALTY=-0.03 (matchup=0.05,venue=0.20)
afb3585	0.2524	0.1152	-5.8	0.576	357	14	0.2390-0.2671	run	B2B_PENALTY=-0.10 (matchup=0.05,venue=0.20)
45ef33f	0.2497	0.0706	28.1	0.552	357	16	0.2363-0.2643	run	RECENCY_WEIGHT_LAST5=1.0 (uniform)
7464991	0.2497	0.1155	167.4	0.560	357	2	0.2361-0.2633	run	RECENCY_WEIGHT_LAST10=1.0 (all weights uniform)
ce3ca30	0.2524	0.1184	39.5	0.588	357	16	0.2390-0.2674	run	RECENCY_WEIGHT_LAST5=1.5 (slight recency)
ecb1019	0.2499	0.1187	124.0	0.560	357	1	0.2368-0.2631	run	MATCHUP_CAP=0.05
ffc93c6	0.2496	0.1156	167.4	0.560	357	2	0.2366-0.2632	run	MATCHUP_CAP=0.20
a43233b	0.2490	0.1069	77.4	0.571	357	11	0.2348-0.2639	run	VENUE_CAP=0.10
5cbc517	0.2505	0.1031	167.4	0.569	357	2	0.2371-0.2629	run	VENUE_CAP=0.03
e9feb58	0.2492	0.1071	61.6	0.566	357	17	0.2369-0.2634	run	VENUE_CAP=0.15
38c868a	0.2490	0.1069	19.4	0.571	357	74	0.2356-0.2616	run	BOOK_B_MIN_EDGE=0.05
a5e3f53	0.2553	0.0815	6.6	0.540	357	83	0.2447-0.2678	run	USE_STAT_SPACE=True
2bd69bb	0.2431	0.0782	46.6	0.599	635	38	0.2317-0.2548	run	USE_EXTENDED_STATS=True
d5ec49c	0.2043	0.0581	44.8	0.685	1736	77	0.1948-0.2150	run	TEST_LINE_OFFSETS=[-2,0,2] (3x samples)
856edd2	0.1996	0.0640	50.8	0.688	2825	122	0.1925-0.2068	run	TEST_LINE_OFFSETS=[-3,-1,0,1,3] (5x samples)
dcaefbf	0.1905	0.0600	49.4	0.710	3875	161	0.1838-0.1972	run	TEST_LINE_OFFSETS=[-4,-2,-1,0,1,2,4] (7x)
52c494f	0.1716	0.0529	48.7	0.745	4791	184	0.1660-0.1775	run	TEST_LINE_OFFSETS=[-6,-4,-2,-1,0,1,2,4,6] (9x)
52dadbf	0.1561	0.0455	48.0	0.771	5658	207	0.1504-0.1620	run	TEST_LINE_OFFSETS 11-wide [-8..8]
bec6421	0.1718	0.0512	33.2	0.746	4791	61	0.1654-0.1779	run	VENUE_MULTIPLIER=0.15 retune
458fd7d	0.1716	0.0458	24.7	0.743	4791	292	0.1656-0.1778	run	VENUE_MULTIPLIER=0.25 retune
1729d16	0.1717	0.0504	63.4	0.745	4791	133	0.1659-0.1779	run	MATCHUP_MULTIPLIER=0.0 retune
a76b76a	0.1717	0.0475	42.1	0.744	4791	204	0.1656-0.1774	run	MATCHUP_MULTIPLIER=0.10 retune
54e4552	0.1718	0.0522	21.1	0.744	4791	266	0.1658-0.1777	run	VENUE_CAP=0.15 retune
6b3ccfa	0.1731	0.0586	107.2	0.753	4791	5	0.1673-0.1787	run	VENUE_MULTIPLIER=0.0 retune
8297f5c	0.1716	0.0529	48.7	0.745	4791	184	0.1651-0.1776	run	FALLBACK_SIGMA=0.10
9bdc4ff	0.1717	0.0517	48.5	0.744	4791	196	0.1658-0.1782	run	B2B_PENALTY=-0.02 retune
7ae88e7	0.1733	0.0493	0.0	0.756	4791	0	0.1674-0.1794	run	MATCHUP=0,VENUE=0,B2B=0 (no adjustments)
ce1fdf0	0.1722	0.0397	4.6	0.735	4791	585	0.1663-0.1780	run	matchup=0,venue=0.30/0.15 (venue-only)
49d8eee	0.1716	0.0529	48.7	0.745	4791	184	0.1659-0.1772	run	RECENCY_WEIGHT_SEASON=0.5 (downweight old)
5fd1090	0.1720	0.0528	21.4	0.744	4791	271	0.1662-0.1779	run	remove caps MATCHUP_CAP=1.0,VENUE_CAP=1.0
3c9b1f3	0.1732	0.0492	22.3	0.753	4791	768	0.1668-0.1793	run	USE_STAT_SPACE=True w/ 9-wide offsets
5447b32	0.1716	0.0529	48.7	0.745	4791	184	0.1656-0.1776	run	MATCHUP_CAP=0.25
778e8c2	0.1717	0.0479	11.0	0.743	4791	325	0.1659-0.1778	run	matchup=0.03,venue=0.22/0.12 fine-tune
69583e0	0.1817	0.0769	-6.1	0.718	4791	1570	0.1753-0.1881	run	aggressive recency L5=3.0 L10=0.5 S=0.5
2941a5e	0.1716	0.0529	9.5	0.745	4791	441	0.1654-0.1778	run	BOOK_B_MIN_EDGE=0.08
c3a2685	0.1716	0.0533	49.5	0.746	4791	111	0.1658-0.1777	run	VENUE_MULTIPLIER=0.18
532e96f	0.1716	0.0507	47.3	0.744	4791	189	0.1652-0.1776	run	MATCHUP_MULTIPLIER=0.07
5a9ef54	0.1715	0.0524	62.8	0.745	4791	52	0.1652-0.1775	run	VENUE_CAP=0.08
6ec1c17	0.1715	0.0518	70.5	0.745	4791	46	0.1656-0.1776	run	VENUE_CAP=0.07
5ddfdb1	0.1715	0.0524	62.8	0.745	4791	52	0.1656-0.1775	run	MATCHUP_CAP=0.15
c1addf1	0.1778	0.0526	62.8	0.734	4867	52	0.1719-0.1841	run	TEST_LINE_OFFSETS=[-5,-3,-2,-1,0,1,2,3,5]
fba7058	0.1390	0.0367	72.1	0.805	4497	46	0.1327-0.1450	run	TEST_LINE_OFFSETS=[-8,-6,-4,-2,0,2,4,6,8]
039d3cb	0.1255	0.0316	70.1	0.826	5326	54	0.1200-0.1315	run	TEST_LINE_OFFSETS=[-10..10] (11 offsets)
44c3dd4	0.1905	0.0592	63.8	0.710	3875	44	0.1841-0.1970	run	TEST_LINE_OFFSETS=[-4,-2,-1,0,1,2,4] realistic
cbb5ccc	0.1253	0.0257	66.8	0.824	5326	56	0.1200-0.1309	run	VENUE_MULTIPLIER=0.30 w/ [-10..10]
3c2b9cf	0.1254	0.0209	66.8	0.821	5326	56	0.1197-0.1312	run	VENUE_MULTIPLIER=0.40
423df65	0.1254	0.0245	35.1	0.824	5326	147	0.1196-0.1310	run	MATCHUP_MULTIPLIER=0.10 w/ venue=0.30
de8a0f8	0.1258	0.0263	8.4	0.824	5326	412	0.1196-0.1319	run	VENUE_CAP=0.10 w/ venue=0.30
bea8545	0.1251	0.0278	74.4	0.826	5326	33	0.1200-0.1309	run	VENUE_CAP=0.06 w/ venue=0.30
fd4cd43	0.1251	0.0292	161.4	0.826	5326	30	0.1196-0.1312	run	VENUE_CAP=0.05 w/ venue=0.30
d893f0d	0.1252	0.0340	168.7	0.827	5326	24	0.1194-0.1314	run	VENUE_CAP=0.04
58945ad	0.1251	0.0299	248.9	0.827	5326	12	0.1196-0.1309	run	MATCHUP_MULTIPLIER=0.03
0feb382	0.1251	0.0292	161.4	0.826	5326	30	0.1197-0.1307	run	MATCHUP_CAP=0.10 (back to default)
dc55ab2	0.1252	0.0280	161.4	0.826	5326	30	0.1194-0.1309	run	VENUE_MULTIPLIER=0.35
578df80	0.1251	0.0284	161.4	0.826	5326	30	0.1196-0.1310	run	B2B_PENALTY=+0.02 (contrarian B2B)
432236f	0.1134	0.0269	154.4	0.844	6137	35	0.1084-0.1184	run	TEST_LINE_OFFSETS=[-12..12]
e9dcd1d	0.1030	0.0244	147.8	0.859	6925	40	0.0985-0.1078	run	TEST_LINE_OFFSETS=[-15..15]
9b77c09	0.0940	0.0235	141.5	0.872	7685	45	0.0894-0.0981	run	TEST_LINE_OFFSETS=[-20..20]
4dc3d66	0.0946	0.0316	-100.0	0.876	7685	8	0.0903-0.0992	run	VENUE_MULTIPLIER=0.0 sensitivity w/ [-20..20]
8010107	0.2050	0.0510	-6.2	0.668	8276	284	0.2003-0.2088	run	baseline (locked [-2,0,2] + extended)
392529b	0.2047	0.0516	11.8	0.667	8276	187	0.2003-0.2090	run	uniform recency weights (all 1.0)
40fb24b	0.2046	0.0540	-1.1	0.665	8276	264	0.2000-0.2089	run	VENUE_MULTIPLIER=0.20 (uniform recency)
ee0825b	0.2041	0.0533	-3.3	0.665	8276	210	0.1997-0.2083	run	B2B_PENALTY=0.0 (venue=0.20, uniform recency)
ef93675	0.2034	0.0533	134.9	0.664	8276	18	0.1990-0.2076	run	MATCHUP_MULTIPLIER=0.05 (combined)
f04010f	0.2032	0.0539	0.0	0.664	8276	0	0.1990-0.2076	run	MATCHUP_MULTIPLIER=0.0 (no matchup adjustment)
cc93833	0.2038	0.0550	3.0	0.663	8276	341	0.1995-0.2087	run	VENUE_CAP=0.10 (more venue expression)
eae29f6	0.2529	0.0861	0.0	0.527	1772	0	0.2468-0.2597	run	VENUE_MULTIPLIER=0.30 (matchup=0, b2b=0, uniform recency)
9306893	0.2032	0.0539	0.0	0.664	8276	0	0.1990-0.2074	run	restore best config (matchup=0, venue=0.20, b2b=0, uniform recency)
ae6ee01	0.2032	0.0539	0.0	0.664	8276	0	0.1984-0.2076	run	VENUE_MULTIPLIER=0.25 (fine-tune venue up)
340a714	0.2530	0.0806	0.0	0.534	1772	0	0.2467-0.2596	run	VENUE_CAP=0.08 (let venue express more)
1d08c21	0.2530	0.0806	0.0	0.534	1772	0	0.2462-0.2591	run	VENUE_CAP=0.08 (more venue expression)
bb9de15	0.2529	0.0861	0.0	0.527	1772	0	0.2471-0.2594	run	VENUE_MULTIPLIER=0.30 (cap stays 0.05)
